age,gender,district,monthly_income,ridehailing_app,p_pickmepreference,p_pickmepurpose,p_pickmefrequency,p_pickmevehicle,p_pickmetime,p_pickmepayment,p_pickmepass,u_uberpreference,u_uberpurpose,u_uberfrequency,u_ubervehicle,u_ubertime,u_uberpayment,u_uberone,b_preference,b_switchingfrequency,b_purpose,b_frequency,b_time,b_pickmevehicle,b_ubervehicle,b_paymentmethod,b_pickmepass,b_uberone,Cluster,cluster_label
18-25,male,colombo,"lkr 150,000 – 199,999",both pickme & uber,,,,,,,,,,,,,,,"better driver availability, specific features (e.g., uberxl, pickme tuk-tuks), urgency or convenience",often,"commuting to work, weather, special occasions, emergencies",weekly,don't have a specific time,tuk,tuk,both cash & card,no,no,0,Flexible Weekly Dual-App Users
26-35,female,colombo,prefer not to say,pickme only,better availability in my area,comfort and convenience,daily,tuk,office hours (7 am - 10 am & 4 pm - 7 pm),both cash & card,no,,,,,,,,,,,,,,,,,,1,"PickMe-Focused, Low-Frequency Cash Users"
26-35,male,colombo,"lkr 300,000 or more",both pickme & uber,,,,,,,,,,,,,,,"to compare prices, better driver availability",always,"comfort and convenience, social or leisure activities, commuting to work, school or education",occasionally,"office hours (7 am - 10 am & 4 pm - 7 pm), late night (10 pm - 3 am)","tuk, car, flex, mini, minivan","tuk, zip, minivan, van",both cash & card,no,no,0,Flexible Weekly Dual-App Users
26-35,male,colombo,"lkr 300,000 or more",both pickme & uber,,,,,,,,,,,,,,,"to compare prices, specific features (e.g., uberxl, pickme tuk-tuks), urgency or convenience",always,"lack of public transport options, social or leisure activities, weather, group travel, special occasions, emergencies",daily,"morning (7 am - 10 am), evening (4 pm - 7 pm), late night (10 pm - 3 am)","tuk, car, mini","tuk, zip",both cash & card,no,no,3,Loyal Female Dominant Daily Riders with Subscriptions
26-35,female,colombo,"lkr 150,000 – 199,999",uber only,,,,,,,,uber offers shorter wait times,"comfort and convenience, lack of public transport options, special occasions",occasionally,"tuk, zip",don't have a specific time,both cash & card,no,,,,,,,,,,,2,Occasional Price Sensitive Uber Users
18-25,female,colombo,"lkr 150,000 – 199,999",both pickme & uber,,,,,,,,,,,,,,,to compare prices,often,"comfort and convenience, shopping errands, weather, group travel, emergencies",weekly,"morning (7 am - 10 am), evening (4 pm - 7 pm)","tuk, car",tuk,cash,no,no,0,Flexible Weekly Dual-App Users
18-25,female,colombo,"lkr 200,000 – 299,999",both pickme & uber,,,,,,,,,,,,,,,better driver availability,often,emergencies,weekly,late night (10 pm - 3 am),bike,tuk,card,yes,yes,0,Flexible Weekly Dual-App Users
18-25,male,colombo,"lkr 150,000 – 199,999",uber only,,,,,,,,"uber offers shorter wait times, better availability in my area, easier-to-use app interface, good driver behavior","lack of public transport options, social or leisure activities, commuting to work, school or education, special occasions",weekly,"tuk, zip",don't have a specific time,cash,no,,,,,,,,,,,2,Occasional Price Sensitive Uber Users
26-35,female,colombo,"lkr 50,000 – 99,999",pickme only,affordable fares,comfort and convenience,occasionally,tuk,don't have a specific time,both cash & card,no,,,,,,,,,,,,,,,,,,1,"PickMe-Focused, Low-Frequency Cash Users"
26-35,male,colombo,"lkr 100,000 – 149,999",both pickme & uber,,,,,,,,,,,,,,,better driver availability,always,social or leisure activities,occasionally,"evening (4 pm - 7 pm), late night (10 pm - 3 am)",tuk,tuk,cash,no,no,0,Flexible Weekly Dual-App Users
26-35,male,colombo,"lkr 50,000 – 99,999",uber only,,,,,,,,"i’ve had bad experiences with pickme, affordable fares, transparancy","comfort and convenience, commuting to work, weather, special occasions",monthly,tuk,"morning (7 am - 10 am), late night (10 pm - 3 am)",cash,yes,,,,,,,,,,,2,Occasional Price Sensitive Uber Users
26-35,male,colombo,"lkr 50,000 – 99,999",both pickme & uber,,,,,,,,,,,,,,,to compare prices,always,weather,weekly,office hours (7 am - 10 am & 4 pm - 7 pm),bike,tuk,cash,yes,yes,0,Flexible Weekly Dual-App Users
26-35,female,colombo,"less than lkr 50,000",pickme only,pickme has shorter wait times,comfort and convenience,weekly,tuk,evening (4 pm - 7 pm),cash,no,,,,,,,,,,,,,,,,,,1,"PickMe-Focused, Low-Frequency Cash Users"
36-45,male,colombo,"lkr 200,000 – 299,999",both pickme & uber,,,,,,,,,,,,,,,to compare prices,rarely,"social or leisure activities, weather, group travel,",occasionally,evening (4 pm - 7 pm),"tuk, bike, car, flex",tuk,card,no,no,0,Flexible Weekly Dual-App Users
26-35,female,colombo,"less than lkr 50,000",pickme only,pickme has shorter wait times,comfort and convenience,monthly,car,evening (4 pm - 7 pm),cash,no,,,,,,,,,,,,,,,,,,1,"PickMe-Focused, Low-Frequency Cash Users"
26-35,female,colombo,"lkr 50,000 – 99,999",pickme only,reliable service,comfort and convenience,weekly,"tuk, car, flex",office hours (7 am - 10 am & 4 pm - 7 pm),cash,yes,,,,,,,,,,,,,,,,,,1,"PickMe-Focused, Low-Frequency Cash Users"
18-25,male,colombo,"lkr 50,000 – 99,999",both pickme & uber,,,,,,,,,,,,,,,to compare prices,often,lack of public transport options,daily,evening (4 pm - 7 pm),"tuk, bike, flex",minivan,card,yes,yes,3,Loyal Female Dominant Daily Riders with Subscriptions
18-25,male,colombo,"lkr 150,000 – 199,999",both pickme & uber,,,,,,,,,,,,,,,better driver availability,often,comfort and convenience,weekly,late night (10 pm - 3 am),tuk,tuk,cash,yes,yes,0,Flexible Weekly Dual-App Users
26-35,female,colombo,"lkr 200,000 – 299,999",both pickme & uber,,,,,,,,,,,,,,,urgency or convenience,always,comfort and convenience,monthly,don't have a specific time,tuk,tuk,card,no,no,0,Flexible Weekly Dual-App Users
18-25,female,colombo,prefer not to say,uber only,,,,,,,,"better availability in my area, easier-to-use app interface, affordable fares","comfort and convenience, weather",occasionally,tuk,office hours (7 am - 10 am & 4 pm - 7 pm),cash,no,,,,,,,,,,,2,Occasional Price Sensitive Uber Users
26-35,male,colombo,"lkr 100,000 – 149,999",pickme only,reliable service,commuting to work,occasionally,tuk,evening (4 pm - 7 pm),cash,no,,,,,,,,,,,,,,,,,,1,"PickMe-Focused, Low-Frequency Cash Users"
26-35,female,colombo,"lkr 50,000 – 99,999",both pickme & uber,,,,,,,,,,,,,,,to compare prices,rarely,comfort and convenience,occasionally,don't have a specific time,"tuk, car",tuk,cash,no,no,0,Flexible Weekly Dual-App Users
26-35,female,colombo,"lkr 50,000 – 99,999",pickme only,pickme has shorter wait times,lack of public transport options,monthly,tuk,don't have a specific time,cash,yes,,,,,,,,,,,,,,,,,,1,"PickMe-Focused, Low-Frequency Cash Users"
26-35,female,colombo,"less than lkr 50,000",pickme only,good driver behavior,lack of public transport options,occasionally,car,evening (4 pm - 7 pm),both cash & card,no,,,,,,,,,,,,,,,,,,1,"PickMe-Focused, Low-Frequency Cash Users"
26-35,male,colombo,"less than lkr 50,000",both pickme & uber,,,,,,,,,,,,,,,to compare prices,always,comfort and convenience,weekly,office hours (7 am - 10 am & 4 pm - 7 pm),"tuk, car",tuk,both cash & card,no,no,0,Flexible Weekly Dual-App Users
26-35,male,colombo,"lkr 50,000 – 99,999",pickme only,better availability in my area,"school or education, weather",occasionally,car,don't have a specific time,cash,no,,,,,,,,,,,,,,,,,,1,"PickMe-Focused, Low-Frequency Cash Users"
26-35,female,colombo,"lkr 50,000 – 99,999",both pickme & uber,,,,,,,,,,,,,,,"to compare prices, when one app has service downtime, driver quality differences, urgency or convenience",always,"comfort and convenience, group travel, special occasions, emergencies",occasionally,don't have a specific time,"tuk, car, minivan","tuk, van",both cash & card,no,no,3,Loyal Female Dominant Daily Riders with Subscriptions
26-35,female,colombo,"lkr 50,000 – 99,999",pickme only,affordable fares,lack of public transport options,monthly,"tuk, bike",evening (4 pm - 7 pm),cash,no,,,,,,,,,,,,,,,,,,1,"PickMe-Focused, Low-Frequency Cash Users"
26-35,female,colombo,"less than lkr 50,000",pickme only,pickme has shorter wait times,comfort and convenience,occasionally,tuk,don't have a specific time,cash,yes,,,,,,,,,,,,,,,,,,1,"PickMe-Focused, Low-Frequency Cash Users"
46-55,male,colombo,"less than lkr 50,000",pickme only,pickme has shorter wait times,comfort and convenience,occasionally,tuk,don't have a specific time,cash,no,,,,,,,,,,,,,,,,,,1,"PickMe-Focused, Low-Frequency Cash Users"
26-35,male,colombo,"less than lkr 50,000",pickme only,pickme has shorter wait times,comfort and convenience,occasionally,tuk,don't have a specific time,cash,yes,,,,,,,,,,,,,,,,,,1,"PickMe-Focused, Low-Frequency Cash Users"
18-25,female,colombo,"less than lkr 50,000",pickme only,pickme has shorter wait times,comfort and convenience,occasionally,"tuk, car",don't have a specific time,cash,yes,,,,,,,,,,,,,,,,,,1,"PickMe-Focused, Low-Frequency Cash Users"
26-35,female,colombo,"lkr 200,000 – 299,999",both pickme & uber,,,,,,,,,,,,,,,to compare prices,often,comfort and convenience,daily,office hours (7 am - 10 am & 4 pm - 7 pm),tuk,tuk,both cash & card,no,no,0,Flexible Weekly Dual-App Users
26-35,female,colombo,"lkr 150,000 – 199,999",both pickme & uber,,,,,,,,,,,,,,,better driver availability,always,"commuting to work, shopping errands, school or education",weekly,"office hours (7 am - 10 am & 4 pm - 7 pm), evening (4 pm - 7 pm), late night (10 pm - 3 am), school hours (6 am- 7 am & 1 pm - 3 pm)",tuk,tuk,cash,no,no,0,Flexible Weekly Dual-App Users
26-35,male,colombo,"lkr 50,000 – 99,999",pickme only,pickme has shorter wait times,weather,occasionally,"tuk, car","morning (7 am - 10 am), school hours (6 am- 7 am & 1 pm - 3 pm)",cash,yes,,,,,,,,,,,,,,,,,,1,"PickMe-Focused, Low-Frequency Cash Users"
18-25,female,colombo,"less than lkr 50,000",both pickme & uber,,,,,,,,,,,,,,,when one app has service downtime,always,"lack of public transport options, shopping errands, school or education, special occasions",weekly,don't have a specific time,tuk,tuk,cash,yes,yes,0,Flexible Weekly Dual-App Users
26-35,male,colombo,"lkr 200,000 – 299,999",pickme only,"pickme has shorter wait times, reliable service, transparency","comfort and convenience, weather, special occasions",weekly,"tuk, car","office hours (7 am - 10 am & 4 pm - 7 pm), don't have a specific time",card,no,,,,,,,,,,,,,,,,,,1,"PickMe-Focused, Low-Frequency Cash Users"
26-35,male,colombo,"lkr 50,000 – 99,999",both pickme & uber,,,,,,,,,,,,,,,better driver availability,always,lack of public transport options,monthly,evening (4 pm - 7 pm),tuk,zip,both cash & card,yes,yes,3,Loyal Female Dominant Daily Riders with Subscriptions
18-25,female,colombo,"less than lkr 50,000",pickme only,reliable service,comfort and convenience,weekly,"tuk, car","office hours (7 am - 10 am & 4 pm - 7 pm), evening (4 pm - 7 pm)",cash,yes,,,,,,,,,,,,,,,,,,1,"PickMe-Focused, Low-Frequency Cash Users"
36-45,male,colombo,"lkr 150,000 – 199,999",pickme only,pickme has shorter wait times,commuting to work,weekly,tuk,morning (7 am - 10 am),card,no,,,,,,,,,,,,,,,,,,1,"PickMe-Focused, Low-Frequency Cash Users"
18-25,female,colombo,"less than lkr 50,000",both pickme & uber,,,,,,,,,,,,,,,"to compare prices, better driver availability, urgency or convenience",often,"comfort and convenience, special occasions, emergencies",weekly,"office hours (7 am - 10 am & 4 pm - 7 pm), late night (10 pm - 3 am)","tuk, car","tuk, zip",both cash & card,yes,yes,3,Loyal Female Dominant Daily Riders with Subscriptions
18-25,male,colombo,"lkr 100,000 – 149,999",both pickme & uber,,,,,,,,,,,,,,,"to compare prices, better driver availability, specific features (e.g., uberxl, pickme tuk-tuks)",always,group travel,monthly,late night (10 pm - 3 am),"tuk, bike, car",tuk,both cash & card,yes,yes,3,Loyal Female Dominant Daily Riders with Subscriptions
26-35,male,colombo,"lkr 50,000 – 99,999",both pickme & uber,,,,,,,,,,,,,,,to compare prices,often,emergencies,occasionally,don't have a specific time,mini,minivan,cash,yes,yes,0,Flexible Weekly Dual-App Users
18-25,female,colombo,"less than lkr 50,000",pickme only,"better availability in my area, easier-to-use app interface",emergencies,occasionally,tuk,don't have a specific time,cash,yes,,,,,,,,,,,,,,,,,,1,"PickMe-Focused, Low-Frequency Cash Users"
26-35,female,colombo,"lkr 50,000 – 99,999",pickme only,reliable service,emergencies,weekly,tuk,office hours (7 am - 10 am & 4 pm - 7 pm),cash,yes,,,,,,,,,,,,,,,,,,1,"PickMe-Focused, Low-Frequency Cash Users"
18-25,female,colombo,"less than lkr 50,000",pickme only,"better availability in my area, easier-to-use app interface, more frequent promotions or discounts, transparency","comfort and convenience, school or education, group travel, emergencies",weekly,"tuk, car",don't have a specific time,cash,yes,,,,,,,,,,,,,,,,,,1,"PickMe-Focused, Low-Frequency Cash Users"
26-35,female,colombo,"lkr 50,000 – 99,999",pickme only,better availability in my area,"comfort and convenience, lack of public transport options, social or leisure activities, commuting to work, shopping errands, school or education, healthcare appointments, special occasions, emergencies",weekly,tuk,don't have a specific time,card,no,,,,,,,,,,,,,,,,,,1,"PickMe-Focused, Low-Frequency Cash Users"
18-25,female,colombo,"less than lkr 50,000",both pickme & uber,,,,,,,,,,,,,,,to compare prices,often,"comfort and convenience, lack of public transport options, social or leisure activities, commuting to work, shopping errands, school or education, healthcare appointments, weather, group travel, special occasions, emergencies,",weekly,don't have a specific time,tuk,tuk,cash,no,no,0,Flexible Weekly Dual-App Users
46-55,male,colombo,"lkr 50,000 – 99,999",pickme only,pickme has shorter wait times,school or education,weekly,tuk,morning (7 am - 10 am),cash,yes,,,,,,,,,,,,,,,,,,1,"PickMe-Focused, Low-Frequency Cash Users"
18-25,female,colombo,prefer not to say,both pickme & uber,,,,,,,,,,,,,,,"to compare prices, urgency or convenience",rarely,"lack of public transport options, social or leisure activities, school or education, weather, emergencies",occasionally,don't have a specific time,tuk,tuk,both cash & card,no,no,0,Flexible Weekly Dual-App Users
18-25,male,colombo,"lkr 100,000 – 149,999",pickme only,"i’ve had bad experiences with uber, pickme has shorter wait times, affordable fares","comfort and convenience, school or education",daily,"tuk, bike",morning (7 am - 10 am),both cash & card,no,,,,,,,,,,,,,,,,,,1,"PickMe-Focused, Low-Frequency Cash Users"
26-35,male,colombo,"lkr 300,000 or more",uber only,,,,,,,,affordable fares,special occasions,occasionally,tuk,late night (10 pm - 3 am),cash,no,,,,,,,,,,,2,Occasional Price Sensitive Uber Users
18-25,female,colombo,prefer not to say,uber only,,,,,,,,"uber offers shorter wait times, good driver behavior","comfort and convenience, school or education, group travel",weekly,tuk,don't have a specific time,cash,no,,,,,,,,,,,2,Occasional Price Sensitive Uber Users
18-25,female,colombo,"lkr 100,000 – 149,999",both pickme & uber,,,,,,,,,,,,,,,urgency or convenience,often,emergencies,weekly,don't have a specific time,tuk,tuk,cash,no,no,0,Flexible Weekly Dual-App Users
18-25,female,colombo,prefer not to say,both pickme & uber,,,,,,,,,,,,,,,"to compare prices, better driver availability, when one app has service downtime, urgency or convenience",often,"comfort and convenience, commuting to work, shopping errands, weather",weekly,"office hours (7 am - 10 am & 4 pm - 7 pm), evening (4 pm - 7 pm)","tuk, car, flex","tuk, premier",both cash & card,no,yes,0,Flexible Weekly Dual-App Users
26-35,female,colombo,"lkr 50,000 – 99,999",both pickme & uber,,,,,,,,,,,,,,,to compare prices,often,"comfort and convenience, lack of public transport options, special occasions",weekly,evening (4 pm - 7 pm),"tuk, car","tuk, zip",card,no,yes,3,Loyal Female Dominant Daily Riders with Subscriptions
26-35,female,colombo,"less than lkr 50,000",pickme only,easier-to-use app interface,group travel,weekly,tuk,office hours (7 am - 10 am & 4 pm - 7 pm),cash,yes,,,,,,,,,,,,,,,,,,1,"PickMe-Focused, Low-Frequency Cash Users"
26-35,female,colombo,"lkr 50,000 – 99,999",both pickme & uber,,,,,,,,,,,,,,,urgency or convenience,always,"lack of public transport options, weather, emergencies",daily,office hours (7 am - 10 am & 4 pm - 7 pm),"tuk, car","tuk, sedan",card,yes,yes,3,Loyal Female Dominant Daily Riders with Subscriptions
18-25,female,colombo,"lkr 100,000 – 149,999",pickme only,"more frequent promotions or discounts,","comfort and convenience, lack of public transport options, shopping errands, healthcare appointments, group travel, special occasions, emergencies",weekly,"tuk, bike, car","morning (7 am - 10 am), office hours (7 am - 10 am & 4 pm - 7 pm), late night (10 pm - 3 am)",card,no,,,,,,,,,,,,,,,,,,1,"PickMe-Focused, Low-Frequency Cash Users"
26-35,female,colombo,"less than lkr 50,000",both pickme & uber,,,,,,,,,,,,,,,"to compare prices, urgency or convenience",often,"weather, emergencies",occasionally,office hours (7 am - 10 am & 4 pm - 7 pm),tuk,tuk,cash,yes,yes,0,Flexible Weekly Dual-App Users
26-35,male,colombo,"lkr 50,000 – 99,999",both pickme & uber,,,,,,,,,,,,,,,"to compare prices, when one app has service downtime, urgency or convenience",often,"lack of public transport options, weather, special occasions, emergencies",occasionally,office hours (7 am - 10 am & 4 pm - 7 pm),tuk,tuk,cash,yes,yes,0,Flexible Weekly Dual-App Users
26-35,male,colombo,"lkr 50,000 – 99,999",pickme only,"i’ve had bad experiences with uber, transparency","comfort and convenience, lack of public transport options, special occasions, emergencies",occasionally,"tuk, car",office hours (7 am - 10 am & 4 pm - 7 pm),cash,yes,,,,,,,,,,,,,,,,,,1,"PickMe-Focused, Low-Frequency Cash Users"
26-35,female,colombo,prefer not to say,pickme only,easier-to-use app interface,emergencies,occasionally,tuk,don't have a specific time,card,no,,,,,,,,,,,,,,,,,,1,"PickMe-Focused, Low-Frequency Cash Users"
26-35,female,colombo,"less than lkr 50,000",pickme only,better availability in my area,commuting to work,daily,"tuk, car","morning (7 am - 10 am), evening (4 pm - 7 pm), late night (10 pm - 3 am)",both cash & card,yes,,,,,,,,,,,,,,,,,,1,"PickMe-Focused, Low-Frequency Cash Users"
18-25,female,colombo,"less than lkr 50,000",both pickme & uber,,,,,,,,,,,,,,,"to compare prices, urgency or convenience",often,"comfort and convenience, special occasions, emergencies",occasionally,don't have a specific time,"tuk, car","tuk, zip",cash,no,no,0,Flexible Weekly Dual-App Users
18-25,male,colombo,"lkr 50,000 – 99,999",both pickme & uber,,,,,,,,,,,,,,,"to compare prices, urgency or convenience",rarely,"lack of public transport options, commuting to work, emergencies",occasionally,"office hours (7 am - 10 am & 4 pm - 7 pm), late night (10 pm - 3 am)","tuk, bike",tuk,cash,no,no,0,Flexible Weekly Dual-App Users
18-25,female,colombo,"less than lkr 50,000",pickme only,better availability in my area,shopping errands,weekly,tuk,don't have a specific time,cash,no,,,,,,,,,,,,,,,,,,1,"PickMe-Focused, Low-Frequency Cash Users"
26-35,female,colombo,"lkr 150,000 – 199,999",pickme only,"pickme has shorter wait times, better availability in my area, easier-to-use app interface, more frequent promotions or discounts, affordable fares","comfort and convenience, lack of public transport options, commuting to work, shopping errands, healthcare appointments, weather, special occasions, emergencies",weekly,tuk,don't have a specific time,both cash & card,yes,,,,,,,,,,,,,,,,,,1,"PickMe-Focused, Low-Frequency Cash Users"
18-25,female,colombo,"lkr 50,000 – 99,999",both pickme & uber,,,,,,,,,,,,,,,"to compare prices, when one app has service downtime, urgency or convenience",always,"shopping errands, emergencies",weekly,"office hours (7 am - 10 am & 4 pm - 7 pm), late night (10 pm - 3 am)","tuk, car","tuk, zip",both cash & card,no,no,3,Loyal Female Dominant Daily Riders with Subscriptions
18-25,male,colombo,"lkr 50,000 – 99,999",pickme only,"pickme has shorter wait times, better availability in my area, more frequent promotions or discounts, affordable fares, good driver behavior","comfort and convenience, lack of public transport options, commuting to work, healthcare appointments",weekly,"tuk, bike, car","morning (7 am - 10 am), evening (4 pm - 7 pm), late night (10 pm - 3 am)",both cash & card,no,,,,,,,,,,,,,,,,,,1,"PickMe-Focused, Low-Frequency Cash Users"
18-25,male,colombo,"lkr 50,000 – 99,999",pickme only,good driver behavior,commuting to work,weekly,tuk,late night (10 pm - 3 am),both cash & card,no,,,,,,,,,,,,,,,,,,1,"PickMe-Focused, Low-Frequency Cash Users"
26-35,female,colombo,"lkr 100,000 – 149,999",both pickme & uber,,,,,,,,,,,,,,,"to compare prices, when one app has service downtime",always,"comfort and convenience, lack of public transport options, healthcare appointments, group travel, special occasions",daily,don't have a specific time,"tuk, car",tuk,both cash & card,no,no,3,Loyal Female Dominant Daily Riders with Subscriptions
26-35,male,colombo,"lkr 50,000 – 99,999",pickme only,pickme has shorter wait times,comfort and convenience,monthly,"tuk, bike, car","morning (7 am - 10 am), evening (4 pm - 7 pm)",cash,yes,,,,,,,,,,,,,,,,,,1,"PickMe-Focused, Low-Frequency Cash Users"
36-45,male,colombo,"lkr 300,000 or more",both pickme & uber,,,,,,,,,,,,,,,better driver availability,rarely,special occasions,monthly,don't have a specific time,car,zip,cash,no,no,0,Flexible Weekly Dual-App Users
18-25,female,colombo,"lkr 50,000 – 99,999",both pickme & uber,,,,,,,,,,,,,,,"to compare prices, better driver availability",always,comfort and convenience,occasionally,"morning (7 am - 10 am), evening (4 pm - 7 pm)","tuk, car, mini",tuk,cash,no,no,0,Flexible Weekly Dual-App Users
26-35,male,colombo,prefer not to say,both pickme & uber,,,,,,,,,,,,,,,to compare prices,often,"comfort and convenience, lack of public transport options, shopping errands, weather, special occasions, emergencies",weekly,office hours (7 am - 10 am & 4 pm - 7 pm),"tuk, car",tuk,cash,no,no,0,Flexible Weekly Dual-App Users
18-25,male,colombo,"lkr 50,000 – 99,999",both pickme & uber,,,,,,,,,,,,,,,"to compare prices, when one app has service downtime, geographic coverage differences, specific features (e.g., uberxl, pickme tuk-tuks), urgency or convenience",always,"comfort and convenience, social or leisure activities, shopping errands, school or education, weather, group travel, emergencies",occasionally,"office hours (7 am - 10 am & 4 pm - 7 pm), evening (4 pm - 7 pm), late night (10 pm - 3 am)","tuk, bike","tuk, zip, moto",card,no,yes,3,Loyal Female Dominant Daily Riders with Subscriptions
18-25,female,colombo,"lkr 50,000 – 99,999",both pickme & uber,,,,,,,,,,,,,,,to compare prices,often,lack of public transport options,weekly,evening (4 pm - 7 pm),car,van,cash,no,no,0,Flexible Weekly Dual-App Users
26-35,female,colombo,"less than lkr 50,000",pickme only,better availability in my area,commuting to work,occasionally,tuk,don't have a specific time,cash,no,,,,,,,,,,,,,,,,,,1,"PickMe-Focused, Low-Frequency Cash Users"
26-35,female,colombo,"lkr 100,000 – 149,999",both pickme & uber,,,,,,,,,,,,,,,"to compare prices, better driver availability",often,"comfort and convenience, group travel",weekly,"office hours (7 am - 10 am & 4 pm - 7 pm), evening (4 pm - 7 pm), late night (10 pm - 3 am)","tuk, flex","tuk, zip",card,no,no,0,Flexible Weekly Dual-App Users
26-35,male,colombo,"lkr 50,000 – 99,999",both pickme & uber,,,,,,,,,,,,,,,to compare prices,always,comfort and convenience,weekly,"office hours (7 am - 10 am & 4 pm - 7 pm), evening (4 pm - 7 pm)","tuk, bike, car",tuk,cash,yes,yes,0,Flexible Weekly Dual-App Users
36-45,male,colombo,"lkr 100,000 – 149,999",both pickme & uber,,,,,,,,,,,,,,,urgency or convenience,always,"school or education, healthcare appointments, group travel, special occasions",occasionally,school hours (6 am- 7 am & 1 pm - 3 pm),tuk,zip,cash,no,no,0,Flexible Weekly Dual-App Users
18-25,female,colombo,prefer not to say,both pickme & uber,,,,,,,,,,,,,,,when one app has service downtime,always,"comfort and convenience, lack of public transport options, special occasions, emergencies",weekly,morning (7 am - 10 am),tuk,tuk,both cash & card,no,no,0,Flexible Weekly Dual-App Users
36-45,male,colombo,"less than lkr 50,000",pickme only,better availability in my area,"comfort and convenience, lack of public transport options",occasionally,"tuk, bike",don't have a specific time,both cash & card,no,,,,,,,,,,,,,,,,,,1,"PickMe-Focused, Low-Frequency Cash Users"
18-25,male,colombo,"lkr 300,000 or more",both pickme & uber,,,,,,,,,,,,,,,"to compare prices, better driver availability, urgency or convenience",often,"comfort and convenience, lack of public transport options, social or leisure activities, commuting to work, shopping errands, school or education, healthcare appointments, group travel",weekly,evening (4 pm - 7 pm),"tuk, car","tuk, zip",card,no,yes,0,Flexible Weekly Dual-App Users
18-25,female,colombo,"lkr 100,000 – 149,999",both pickme & uber,,,,,,,,,,,,,,,"when one app has service downtime, urgency or convenience",rarely,comfort and convenience,weekly,"evening (4 pm - 7 pm), late night (10 pm - 3 am)",tuk,"tuk, zip",card,no,no,0,Flexible Weekly Dual-App Users
18-25,female,colombo,"lkr 50,000 – 99,999",both pickme & uber,,,,,,,,,,,,,,,"to compare prices, better driver availability",rarely,"comfort and convenience, emergencies",daily,"morning (7 am - 10 am), evening (4 pm - 7 pm), late night (10 pm - 3 am)",tuk,"tuk, zip",card,no,no,3,Loyal Female Dominant Daily Riders with Subscriptions
18-25,male,colombo,"lkr 300,000 or more",both pickme & uber,,,,,,,,,,,,,,,"to compare prices, better driver availability, urgency or convenience",often,"comfort and convenience, lack of public transport options, social or leisure activities, commuting to work, healthcare appointments",weekly,"office hours (7 am - 10 am & 4 pm - 7 pm), evening (4 pm - 7 pm), late night (10 pm - 3 am)","tuk, flex","tuk, zip",card,no,no,0,Flexible Weekly Dual-App Users
18-25,male,colombo,prefer not to say,both pickme & uber,,,,,,,,,,,,,,,"to compare prices, better driver availability",often,"comfort and convenience, weather, special occasions",weekly,"morning (7 am - 10 am), evening (4 pm - 7 pm), late night (10 pm - 3 am)","tuk, bike",tuk,card,no,no,0,Flexible Weekly Dual-App Users
18-25,female,colombo,prefer not to say,uber only,,,,,,,,"i’ve had bad experiences with pickme, easier-to-use app interface, transparancy",school or education,daily,tuk,"morning (7 am - 10 am), evening (4 pm - 7 pm), school hours (6 am- 7 am & 1 pm - 3 pm)",cash,yes,,,,,,,,,,,2,Occasional Price Sensitive Uber Users
18-25,female,colombo,"lkr 50,000 – 99,999",pickme only,"i’ve had bad experiences with uber, better availability in my area, easier-to-use app interface, more frequent promotions or discounts, affordable fares, good driver behavior","comfort and convenience, commuting to work, shopping errands, school or education, healthcare appointments, group travel, special occasions, emergencies",daily,tuk,"morning (7 am - 10 am), office hours (7 am - 10 am & 4 pm - 7 pm), evening (4 pm - 7 pm), late night (10 pm - 3 am), school hours (6 am- 7 am & 1 pm - 3 pm)",card,yes,,,,,,,,,,,,,,,,,,1,"PickMe-Focused, Low-Frequency Cash Users"
26-35,male,colombo,"lkr 150,000 – 199,999",both pickme & uber,,,,,,,,,,,,,,,urgency or convenience,often,comfort and convenience,daily,office hours (7 am - 10 am & 4 pm - 7 pm),"tuk, bike, car, flex, mini","tuk, moto, sedan",both cash & card,yes,yes,3,Loyal Female Dominant Daily Riders with Subscriptions
26-35,female,colombo,"lkr 100,000 – 149,999",both pickme & uber,,,,,,,,,,,,,,,"to compare prices, better driver availability, driver quality differences",always,"comfort and convenience, social or leisure activities, commuting to work",daily,"morning (7 am - 10 am), office hours (7 am - 10 am & 4 pm - 7 pm), evening (4 pm - 7 pm)","tuk, car, flex","tuk, minivan, van",both cash & card,yes,no,3,Loyal Female Dominant Daily Riders with Subscriptions
18-25,male,colombo,"lkr 100,000 – 149,999",both pickme & uber,,,,,,,,,,,,,,,"to compare prices, better driver availability, when one app has service downtime, urgency or convenience",often,"comfort and convenience, lack of public transport options, social or leisure activities, commuting to work, shopping errands, school or education, healthcare appointments, weather, group travel",daily,office hours (7 am - 10 am & 4 pm - 7 pm),tuk,tuk,card,yes,no,0,Flexible Weekly Dual-App Users
18-25,male,colombo,"lkr 150,000 – 199,999",both pickme & uber,,,,,,,,,,,,,,,"to compare prices, better driver availability, urgency or convenience",always,"comfort and convenience, commuting to work",daily,"morning (7 am - 10 am), evening (4 pm - 7 pm), late night (10 pm - 3 am)","tuk, mini","tuk, zip",card,yes,yes,3,Loyal Female Dominant Daily Riders with Subscriptions
